Joe,89.9,85.3,95.4,75.5,93,88,87.5,96.3,92.2,86.5,
Alex,99.5,95.3,96.2,92.7,94.3,98.1,93.5,88.8,93.6,91.8,
James,46.5,32.7,65,48.7,0,62.5,68.7,66.3,59.7,63.8,
Joanna,78.6,77.3,86.7,91.3,82.5,76.7,68.7,86,82.7,75.3,
Jessica,85.6,83.7,82.4,92.3,86.7,88,89,87.3,78.9,84.9,
Tom,78.4,77.3,68.9,75.3,76,74.8,77.7,71.5,83,69,
David,66.6,67.8,62.3,64.5,0,71.3,64.5,73.2,77.7,82,
John,83.4,78.9,82.1,86.9,88.3,88.8,92.4,93.1,88.4,82,
Joan,72.3,84,78.6,77.4,67,76.2,79,91,86.4,88.1,
Sarah,89.1,94.3,88.4,97.3,96.4,92.4,90.3,82.7,94,92.7
